report_id,report_type,report_start,report_end,report_revision,source_sha256,source_page,geography_type,geography_code,geography_label,offense_code,offense_label,period,statistic,value_unit,observation_year,comparison_year,comparison_lag_years,value_numeric,value_ratio,value_reported,calculated_value_numeric,calculation_status,quality_flag,null_reason,extraction_version,validation_status
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,last_7_days,count,count,2026,,,0,,0,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,last_7_days,count,count,2025,,,0,,0,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,last_7_days,percent_change,percent,2026,2025,1,,,*,,undefined_zero_denominator,,undefined_zero_denominator,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,last_28_days,count,count,2026,,,0,,0,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,last_28_days,count,count,2025,,,1,,1,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,last_28_days,percent_change,percent,2026,2025,1,-100.0,-1.0,-100%,-100.0,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,year_to_date,count,count,2026,,,7,,7,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,year_to_date,count,count,2025,,,10,,10,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,percent,2026,2025,1,-30.0,-0.3,-30%,-30.0,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,percent,2026,2024,2,-42.0,-0.42,-42%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,percent,2026,2023,3,-36.0,-0.36,-36%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,percent,2026,2022,4,-46.0,-0.46,-46%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,percent,2026,2021,5,-71.0,-0.71,-71%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,murder,Murder,year_to_date,percent_change,percent,2026,2020,6,-59.0,-0.59,-59%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,last_7_days,count,count,2026,,,0,,0,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,last_7_days,count,count,2025,,,0,,0,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,last_7_days,percent_change,percent,2026,2025,1,,,*,,undefined_zero_denominator,,undefined_zero_denominator,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,last_28_days,count,count,2026,,,0,,0,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,last_28_days,count,count,2025,,,0,,0,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,last_28_days,percent_change,percent,2026,2025,1,,,*,,undefined_zero_denominator,,undefined_zero_denominator,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,year_to_date,count,count,2026,,,3,,3,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,year_to_date,count,count,2025,,,1,,1,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2025,1,200.0,2.0,200%,200.0,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2024,2,50.0,0.5,50%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2023,3,0.0,0.0,0%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2022,4,-67.0,-0.67,-67%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2021,5,-25.0,-0.25,-25%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,rape,Rape,year_to_date,percent_change,percent,2026,2020,6,-50.0,-0.5,-50%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,last_7_days,count,count,2026,,,2,,2,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,last_7_days,count,count,2025,,,1,,1,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,last_7_days,percent_change,percent,2026,2025,1,100.0,1.0,100%,100.0,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,last_28_days,count,count,2026,,,12,,12,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,last_28_days,count,count,2025,,,15,,15,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,last_28_days,percent_change,percent,2026,2025,1,-20.0,-0.2,-20%,-20.0,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,count,count,2026,,,138,,138,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,count,count,2025,,,128,,128,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,percent,2026,2025,1,8.0,0.08,8%,7.8125,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,percent,2026,2024,2,23.0,0.23,23%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,percent,2026,2023,3,5.0,0.05,5%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,percent,2026,2022,4,-4.0,-0.04,-4%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,percent,2026,2021,5,13.0,0.13,13%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,robbery,Robbery,year_to_date,percent_change,percent,2026,2020,6,-20.0,-0.2,-20%,,not_checkable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,count,count,2026,,,10,,10,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,count,count,2025,,,12,,12,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_7_days,percent_change,percent,2026,2025,1,-17.0,-0.17,-17%,-16.666667,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,count,count,2026,,,41,,41,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,count,count,2025,,,31,,31,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,last_28_days,percent_change,percent,2026,2025,1,32.0,0.32,32%,32.258065,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,count,count,2026,,,288,,288,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,count,count,2025,,,271,,271,,not_applicable,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,percent,2026,2025,1,6.0,0.06,6%,6.273063,matched,,,wilmington-compstat-v2,validated
weekly-2026-08-30-r1,weekly_compstat,2026-08-24,2026-08-30,1,5a657b849798801bb3e72d7c7f9e501e1e7ecdf13c2392207e08a3ff641c965f,1,citywide,citywide,Citywide,aggravated_assault,Agg. Assault,year_to_date,percent_change,percent,2026,2024,2,16.0,0.16,16%,,not_checkable,,,wilmington-compstat-v2,validated
