report_id,report_key,report_type,report_start,report_end,report_year,revision,title,source_url,source_document_id,source_token,source_path,source_sha256,source_size_bytes,fetched_at,page_count,volume,issue_number,validation_status,validation_warning_count,validation_error_count,extraction_version,data_path,manifest_path,release_tag,release_asset,release_url
weekly-2026-08-09-r1,weekly:2026-08-09,weekly_compstat,2026-08-03,2026-08-09,2026,1,"WPD CompStat Report - August 3 through August 9, 2026",https://www.wilmingtonde.gov/home/showpublisheddocument/8310/639219693811643050,8310,639219693811643050,sources/weekly/2026/2026-08-09-r1.pdf,d053b8953d09a9bb575875df7c2e126133ebe930c15a86098f6a026fcdbbecf8,1305835,2026-08-17T16:11:22+00:00,25,10,32,validated,1,0,wilmington-compstat-v1,data/weekly/2026/2026-08-09-r1.csv,archive/weekly/2026/2026-08-09-r1.json,source-weekly-2026-08-09-r1,wpd-compstat-report-august-3-through-august-9-2026-r1.pdf,https://github.com/theurbanresident/CompStat-archive/releases/download/source-weekly-2026-08-09-r1/wpd-compstat-report-august-3-through-august-9-2026-r1.pdf
year-end-compstat-2025-r1,year_end_compstat:2025,year_end_compstat,2025-01-01,2025-12-31,2025,1,2025 Calendar Year-End CompStat Report,https://www.wilmingtonde.gov/home/showpublisheddocument/14006/639094316567800000,14006,639094316567800000,sources/year_end_compstat/2025-r1.pdf,3c3b151aad3d007f2279cf5735d63f591623eff526770c425b726af0d950cfb2,1250508,2026-08-17T16:16:06+00:00,25,9,,validated,1,0,wilmington-compstat-v1,data/year_end_compstat/2025-r1.csv,archive/year_end_compstat/2025-r1.json,source-year-end-compstat-2025-r1,2025-calendar-year-end-compstat-report-r1.pdf,https://github.com/theurbanresident/CompStat-archive/releases/download/source-year-end-compstat-2025-r1/2025-calendar-year-end-compstat-report-r1.pdf
wpd-year-end-report-2025-r1,wpd_year_end_report:2025,wpd_year_end_report,2025-01-01,2025-12-31,2025,1,WPD 2025 Year-End Report,https://www.wilmingtonde.gov/home/showpublisheddocument/13762/639038177796500000,13762,639038177796500000,sources/wpd_year_end_report/2025-r1.pdf,0d8f8248f69bdcf018b20e53749699f8930f9eb531f0eae8cc00b69adb3b5b42,15235735,2026-08-17T16:16:26+00:00,42,,,archived_source_only,0,0,,,archive/wpd_year_end_report/2025-r1.json,source-wpd-year-end-report-2025-r1,wpd-2025-year-end-report-r1.pdf,https://github.com/theurbanresident/CompStat-archive/releases/download/source-wpd-year-end-report-2025-r1/wpd-2025-year-end-report-r1.pdf
wpd-year-end-report-2024-r1,wpd_year_end_report:2024,wpd_year_end_report,2024-01-01,2024-12-31,2024,1,WPD 2024 Year-End Report,https://www.wilmingtonde.gov/home/showpublisheddocument/12732/638743610622100000,12732,638743610622100000,sources/wpd_year_end_report/2024-r1.pdf,f44ef220a46e551e7a07093f1e8473cf91169e85d9df53709774ae0f6ee42b77,18215700,2026-08-17T16:16:26+00:00,42,,,archived_source_only,0,0,,,archive/wpd_year_end_report/2024-r1.json,source-wpd-year-end-report-2024-r1,wpd-2024-year-end-report-r1.pdf,https://github.com/theurbanresident/CompStat-archive/releases/download/source-wpd-year-end-report-2024-r1/wpd-2024-year-end-report-r1.pdf
wpd-year-end-report-2023-r1,wpd_year_end_report:2023,wpd_year_end_report,2023-01-01,2023-12-31,2023,1,WPD 2023 Year-End Report,https://www.wilmingtonde.gov/home/showpublisheddocument/11982/638399761533630000,11982,638399761533630000,sources/wpd_year_end_report/2023-r1.pdf,f30e9db3266c69becd0c6fd5520387f5ab1b4ad37a2224d98455d696cc1e9109,18817271,2026-08-17T16:16:26+00:00,42,,,archived_source_only,0,0,,,archive/wpd_year_end_report/2023-r1.json,source-wpd-year-end-report-2023-r1,wpd-2023-year-end-report-r1.pdf,https://github.com/theurbanresident/CompStat-archive/releases/download/source-wpd-year-end-report-2023-r1/wpd-2023-year-end-report-r1.pdf
wpd-year-end-report-2022-r1,wpd_year_end_report:2022,wpd_year_end_report,2022-01-01,2022-12-31,2022,1,WPD 2022 Year-End Report,https://www.wilmingtonde.gov/home/showpublisheddocument/11264/638083524457900000,11264,638083524457900000,sources/wpd_year_end_report/2022-r1.pdf,8c4db550dccd21b7b43f0f42dbc8267a5f71eb592a72f91c2f3a525857847d13,5196579,2026-08-17T16:16:27+00:00,38,,,archived_source_only,0,0,,,archive/wpd_year_end_report/2022-r1.json,source-wpd-year-end-report-2022-r1,wpd-2022-year-end-report-r1.pdf,https://github.com/theurbanresident/CompStat-archive/releases/download/source-wpd-year-end-report-2022-r1/wpd-2022-year-end-report-r1.pdf
wpd-year-end-report-2021-r1,wpd_year_end_report:2021,wpd_year_end_report,2021-01-01,2021-12-31,2021,1,WPD 2021 Year-End Report,https://www.wilmingtonde.gov/home/showpublisheddocument/10569/637787153813930000,10569,637787153813930000,sources/wpd_year_end_report/2021-r1.pdf,3880f2ed02ab648f435ce3ac9eda1b96e98f40388e93128e883a93d395598e10,4435720,2026-08-17T16:16:27+00:00,36,,,archived_source_only,0,0,,,archive/wpd_year_end_report/2021-r1.json,source-wpd-year-end-report-2021-r1,wpd-2021-year-end-report-r1.pdf,https://github.com/theurbanresident/CompStat-archive/releases/download/source-wpd-year-end-report-2021-r1/wpd-2021-year-end-report-r1.pdf
wpd-year-end-report-2020-r1,wpd_year_end_report:2020,wpd_year_end_report,2020-01-01,2020-12-31,2020,1,WPD 2020 Year-End Report,https://www.wilmingtonde.gov/home/showpublisheddocument/9847/637462249001070000,9847,637462249001070000,sources/wpd_year_end_report/2020-r1.pdf,24eb3eb47e8763d7ef8fc43260490b639e865d86710f80286dd1312a5a595f5b,3660947,2026-08-17T16:16:28+00:00,37,,,archived_source_only,0,0,,,archive/wpd_year_end_report/2020-r1.json,source-wpd-year-end-report-2020-r1,wpd-2020-year-end-report-r1.pdf,https://github.com/theurbanresident/CompStat-archive/releases/download/source-wpd-year-end-report-2020-r1/wpd-2020-year-end-report-r1.pdf
